,stim,S,C,R,RT,block,cond,day,prestim_R
346,hiccup,W,j,j,0.7439679964445531,1,single,1,[]
347,scatter,W,j,j,0.8872529650107026,1,single,1,[]
348,saffer,N,k,k,0.9716410720720887,1,single,1,[]
349,turbulence,P,d,d,0.8787983495276421,1,single,1,[]
350,concealing,W,j,j,0.7231757959816605,1,single,1,[]
351,trence,N,k,k,1.0632969394791871,1,single,1,[]
352,sloping,W,j,j,0.558037969050929,1,single,1,[]
353,rastring,N,k,k,0.5709644744638354,1,single,1,[]
354,burciusing,N,k,k,0.6798796197399497,1,single,1,[]
355,duplex,W,j,j,0.8696589637547731,1,single,1,[]
356,enviable,W,j,j,0.8628986969124526,1,single,1,[]
357,turbulence,P,d,d,0.7190719812642783,1,single,1,[]
358,miquotrane,N,k,k,0.6111558976117522,1,single,1,[]
359,havoc,W,j,j,0.5983862376306206,1,single,1,[]
360,trombonist,W,j,k,0.6245730700902641,1,single,1,[]
361,sphire,N,k,j,1.01702641393058,1,single,1,[]
362,merny,N,k,k,0.6616666510235518,1,single,1,[]
363,charitable,W,j,j,0.9202559520490468,1,single,1,[]
364,culpable,W,j,k,0.7619490025099367,1,single,1,[]
365,cowona,N,k,k,0.7754659308120608,1,single,1,[]
366,turbulence,P,d,d,1.2040237095206976,1,single,1,[]
367,chalation,N,k,k,1.2820021975785494,1,single,1,[]
368,rappall,N,k,k,0.9475881750695407,1,single,1,[]
369,barch,N,k,k,0.553448294987902,1,single,1,[]
370,descack,N,k,k,0.6352154051419348,1,single,1,[]
371,bockel,N,k,k,0.601608474040404,1,single,1,[]
372,finesse,W,j,j,0.6347211326938123,1,single,1,[]
373,intimidate,W,j,j,0.6651010194327682,1,single,1,[]
374,drucing,N,k,k,0.548808743013069,1,single,1,[]
375,enwrifate,N,k,k,0.5115745421499014,1,single,1,[]
376,buddhing,N,k,k,0.9250908095855266,1,single,1,[]
377,revive,W,j,j,0.6888846957590431,1,single,1,[]
378,intrigue,W,j,j,0.5927839807700366,1,single,1,[]
379,instonric,N,k,k,0.5938969203270972,1,single,1,[]
380,zucchini,W,j,j,0.6840825893450528,1,single,1,[]
381,lelipall,N,k,k,0.53998394892551,1,single,1,[]
382,turbulence,P,d,d,0.6996072561014444,1,single,1,[]
383,confection,W,j,j,0.6354762129485607,1,single,1,[]
384,poterral,N,k,k,0.5859041267540306,1,single,1,[]
385,vitamin,W,j,j,0.6329198169987649,1,single,1,[]
386,faminic,N,k,k,0.5923335766419768,1,single,1,[]
387,commurnive,N,k,k,0.6393931354396045,1,single,1,[]
388,diducation,N,k,k,0.8777833632193506,1,single,1,[]
389,eject,W,j,j,0.7221680209040642,1,single,1,[]
390,uthast,N,k,k,0.534299663733691,1,single,1,[]
391,ivinertz,N,k,k,0.49501175293698907,1,single,1,[]
392,collyll,N,k,k,0.5202809511683881,1,single,1,[]
393,turbulence,P,d,d,0.6617525855544955,1,single,1,[]
394,dividing,W,j,j,0.5683981631882489,1,single,1,[]
395,bucirittic,N,k,k,0.5103588418569416,1,single,1,[]
396,suscanse,N,k,k,0.4918613282497972,1,single,1,[]
