,stim,S,C,R,RT,block,cond,day,prestim_R
405,apange,N,j,j,0.5632856718730181,1,multi,2,[]
406,proran,N,j,j,0.5921073229983449,1,multi,2,[]
407,sphire,N,j,j,0.7121695925015956,1,multi,2,[]
408,cauldron,W,k,k,1.050189551198855,1,multi,2,[]
409,sewrendeel,N,j,j,0.5289359798189253,1,multi,2,[]
410,stitch,W,k,k,0.6224700829479843,1,multi,2,[]
411,coyote,P,d,d,0.6208941193763167,1,multi,2,[]
412,accumulate,W,k,k,0.7952764965593815,1,multi,2,[]
413,deceive,W,k,k,0.7550018434412777,1,multi,2,[]
414,confuse,W,k,k,0.6124097576830536,1,multi,2,[]
415,quantify,W,k,k,0.6545842809136957,1,multi,2,[]
416,stampede,W,k,k,0.815107494359836,1,multi,2,[]
417,engagingly,W,k,k,0.8979917508549988,1,multi,2,[]
418,cottafting,N,j,j,0.6394225812982768,1,multi,2,[]
419,detriment,P,d,d,0.8618434476666152,1,multi,2,[]
420,custard,W,k,k,0.7339446288533509,1,multi,2,[]
421,poharities,N,j,j,0.7012934917584062,1,multi,2,[]
422,loneliness,W,k,k,0.7512865359894931,1,multi,2,[]
423,ferligied,N,j,j,0.816686162026599,1,multi,2,[]
424,nuirian,N,j,j,0.6345186161343008,1,multi,2,[]
425,reciprocal,W,k,k,0.7310282702092081,1,multi,2,[]
426,lurge,N,j,j,1.135132325347513,1,multi,2,[]
427,quintet,W,k,j,0.6335303713567555,1,multi,2,[]
428,dispatch,W,k,k,0.6350345222745091,1,multi,2,[]
429,parafolt,N,j,j,0.5715350664686412,1,multi,2,[]
430,evoking,W,k,k,0.6484504931140691,1,multi,2,[]
431,imbasation,N,j,j,0.5278954533860087,1,multi,2,[]
432,inept,W,k,k,0.7974245543591678,1,multi,2,[]
433,tendencies,P,d,d,0.7341970233246684,1,multi,2,[]
434,enerfee,N,j,j,0.7494888259097934,1,multi,2,[]
435,celery,W,k,k,0.6388730225153267,1,multi,2,[]
436,resard,N,j,j,0.5892771992366761,1,multi,2,[]
437,phasing,W,k,k,0.6683235564269125,1,multi,2,[]
438,blult,N,j,j,0.6228937450796366,1,multi,2,[]
439,laccuovity,N,j,j,0.5392063334584236,1,multi,2,[]
440,sturdy,W,k,k,0.5958869310561568,1,multi,2,[]
441,turtle,W,k,k,0.6770212519913912,1,multi,2,[]
442,stallion,P,d,d,0.6107956345658749,1,multi,2,[]
443,degroning,N,j,j,0.607086637057364,1,multi,2,[]
444,eegremine,N,j,j,0.5553436574991792,1,multi,2,[]
445,angling,W,k,j,0.4840593331027776,1,multi,2,[]
446,quirel,N,j,j,0.8074127668514848,1,multi,2,[]
447,whamation,N,j,j,0.5201601623557508,1,multi,2,[]
448,smaping,N,j,j,0.6617132239043713,1,multi,2,[]
449,anagram,W,k,j,0.5592722985893488,1,multi,2,[]
450,magisy,N,j,j,0.8611797099001706,1,multi,2,[]
451,cheetah,P,d,d,0.6533421389758587,1,multi,2,[]
452,lavish,W,k,k,0.7018622809555382,1,multi,2,[]
453,shubney,N,j,j,0.6537540832068771,1,multi,2,[]
454,tynic,N,j,j,0.5902702515013516,1,multi,2,[]
455,shining,W,k,k,0.6623318910133094,1,multi,2,[]
456,coalesce,P,d,d,0.5849474312271923,1,multi,2,[]
457,paving,W,k,k,0.8079391899518669,1,multi,2,[]
458,hiccup,W,k,k,0.6167416288517416,1,multi,2,[]
459,captivity,W,k,k,0.6290431572124362,1,multi,2,[]
460,jusar,N,j,j,0.6434416638221592,1,multi,2,[]
